X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0,0,,0,0
1.5625e-06,1.96349e-06,,1.5625e-06,8.0815e-06
3.125e-06,3.92698e-06,,3.125e-06,1.61876e-05
6.25e-06,7.8539e-06,,6.25e-06,3.23985e-05
1.25e-05,1.57073e-05,,1.25e-05,6.48102e-05
2.5e-05,3.14108e-05,,2.5e-05,0.000129586
5e-05,6.27905e-05,,5e-05,0.000258894
0.0001,0.000125333,,0.0001,0.000516091
0.0002,0.00024869,,0.0002,0.00102132
0.00035625,0.000432873,,0.00035625,0.00177061
0.0005125,0.00060042,,0.0005125,0.00244685
0.00066875,0.000744894,,0.00066875,0.00302564
0.000825,0.000860742,,0.000825,0.00348649
0.00098125,0.000943512,,0.00098125,0.00381332
0.0011375,0.000990024,,0.0011375,0.0039949
0.00129375,0.000998489,,0.00129375,0.00402501
0.00145,0.000968583,,0.00145,0.00390264
0.00160625,0.000901455,,0.00160625,0.00363196
0.0017625,0.000799685,,0.0017625,0.00322228
0.00191875,0.000667183,,0.00191875,0.00268781
0.002075,0.000509041,,0.002075,0.00204737
0.00223125,0.000331338,,0.00223125,0.00132393
0.0023875,0.000140901,,0.0023875,0.000543941
0.00254375,-5.49502e-05,,0.00254375,-0.000263442
0.0027,-0.00024869,,0.0027,-0.00106736
0.00285625,-0.000432873,,0.00285625,-0.00183639
0.0030125,-0.00060042,,0.0030125,-0.00253984
0.00316875,-0.000744894,,0.00316875,-0.00314909
0.003325,-0.000860742,,0.003325,-0.00363894
0.00348125,-0.000943512,,0.00348125,-0.00398882
0.0036375,-0.000990024,,0.0036375,-0.00418391
0.00379375,-0.000998489,,0.00379375,-0.00421588
0.00395,-0.000968583,,0.00395,-0.00408335
0.00410625,-0.000901455,,0.00410625,-0.003792
0.0042625,-0.000799685,,0.0042625,-0.00335419
0.00441875,-0.000667183,,0.00441875,-0.00278838
0.004575,-0.000509041,,0.004575,-0.00211809
0.00473125,-0.000331338,,0.00473125,-0.00137076
0.0048875,-0.000140901,,0.0048875,-0.000576444
0.00504375,5.49502e-05,,0.00504375,0.000233593
0.0052,0.00024869,,0.0052,0.00102814
0.00535625,0.000432873,,0.00535625,0.00177725
0.0055125,0.00060042,,0.0055125,0.00245333
0.00566875,0.000744894,,0.00566875,0.00303197
0.005825,0.000860742,,0.005825,0.00349268
0.00598125,0.000943512,,0.00598125,0.00381938
0.0061375,0.000990024,,0.0061375,0.00400084
0.00629375,0.000998489,,0.00629375,0.00403084
0.00645,0.000968583,,0.00645,0.00390837
0.00660625,0.000901455,,0.00660625,0.00363761
0.0067625,0.000799685,,0.0067625,0.00322785
0.00691875,0.000667183,,0.00691875,0.00269331
0.007075,0.000509041,,0.007075,0.00205281
0.00723125,0.000331338,,0.00723125,0.00132931
0.0073875,0.000140901,,0.0073875,0.000549259
0.00754375,-5.49502e-05,,0.00754375,-0.000258179
0.0077,-0.00024869,,0.0077,-0.00106215
0.00785625,-0.000432873,,0.00785625,-0.00183123
0.0080125,-0.00060042,,0.0080125,-0.00253474
0.00816875,-0.000744894,,0.00816875,-0.00314406
0.008325,-0.000860742,,0.008325,-0.00363397
0.00848125,-0.000943512,,0.00848125,-0.00398393
0.0086375,-0.000990024,,0.0086375,-0.00417909
0.00879375,-0.000998489,,0.00879375,-0.00421114
0.00895,-0.000968583,,0.00895,-0.00407871
0.00910625,-0.000901455,,0.00910625,-0.00378745
0.0092625,-0.000799685,,0.0092625,-0.00334974
0.00941875,-0.000667183,,0.00941875,-0.00278402
0.009575,-0.000509041,,0.009575,-0.00211383
0.00973125,-0.000331338,,0.00973125,-0.00136661
0.0098875,-0.000140901,,0.0098875,-0.000572394
0.0100438,5.49502e-05,,0.0100438,0.000237542
0.0102,0.00024869,,0.0102,0.00103199
0.0103563,0.000432873,,0.0103563,0.00178101
0.0105125,0.00060042,,0.0105125,0.002457
0.0106688,0.000744894,,0.0106688,0.00303556
0.010825,0.000860742,,0.010825,0.00349619
0.0109813,0.000943512,,0.0109813,0.00382282
0.0111375,0.000990024,,0.0111375,0.00400421
0.0112938,0.000998489,,0.0112938,0.00403416
0.01145,0.000968583,,0.01145,0.00391164
0.0116063,0.000901455,,0.0116063,0.00364083
0.0117625,0.000799685,,0.0117625,0.00323102
0.0119188,0.000667183,,0.0119188,0.00269645
0.012075,0.000509041,,0.012075,0.00205591
0.0122313,0.000331338,,0.0122313,0.00133238
0.0123875,0.000140901,,0.0123875,0.000552305
0.0125438,-5.49502e-05,,0.0125438,-0.000255162
0.0127,-0.00024869,,0.0127,-0.00105916
0.0128563,-0.000432873,,0.0128563,-0.00182827
0.0130125,-0.00060042,,0.0130125,-0.00253181
0.0131688,-0.000744894,,0.0131688,-0.00314116
0.013325,-0.000860742,,0.013325,-0.00363111
0.0134813,-0.000943512,,0.0134813,-0.0039811
0.0136375,-0.000990024,,0.0136375,-0.00417631
0.0137938,-0.000998489,,0.0137938,-0.0042084
0.01395,-0.000968583,,0.01395,-0.00407602
0.0141063,-0.000901455,,0.0141063,-0.00378481
0.0142625,-0.000799685,,0.0142625,-0.00334715
0.0144188,-0.000667183,,0.0144188,-0.00278149
0.014575,-0.000509041,,0.014575,-0.00211136
0.0147313,-0.000331338,,0.0147313,-0.00136419
0.0148875,-0.000140901,,0.0148875,-0.000570032
