X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0,0,,0,0.000103307
4.38392e-05,5.49502e-05,,4.38392e-05,0.000157672
0.000200089,0.00024869,,0.000200089,0.00034538
0.000356339,0.000432873,,0.000356339,0.000519816
0.000512589,0.00060042,,0.000512589,0.000674275
0.000668839,0.000744894,,0.000668839,0.000802822
0.000825089,0.000860742,,0.000825089,0.000900517
0.000981339,0.000943512,,0.000981339,0.000963606
0.00113759,0.000990024,,0.00113759,0.000989663
0.00129384,0.000998489,,0.00129384,0.000977689
0.00145009,0.000968583,,0.00145009,0.000928143
0.00160634,0.000901455,,0.00160634,0.000842928
0.00176259,0.000799685,,0.00176259,0.000725321
0.00191884,0.000667183,,0.00191884,0.000579839
0.00207509,0.000509041,,0.00207509,0.000412075
0.00223134,0.000331338,,0.00223134,0.000228475
0.00238759,0.000140901,,0.00238759,3.60949e-05
0.00254384,-5.49502e-05,,0.00254384,-0.000157672
0.00270009,-0.00024869,,0.00270009,-0.00034538
0.00285634,-0.000432873,,0.00285634,-0.000519816
0.00301259,-0.00060042,,0.00301259,-0.000674275
0.00316884,-0.000744894,,0.00316884,-0.000802822
0.00332509,-0.000860742,,0.00332509,-0.000900517
0.00348134,-0.000943512,,0.00348134,-0.000963605
0.00363759,-0.000990024,,0.00363759,-0.000989663
0.00379384,-0.000998489,,0.00379384,-0.000977689
0.00395009,-0.000968583,,0.00395009,-0.000928143
0.00410634,-0.000901455,,0.00410634,-0.000842928
0.00426259,-0.000799685,,0.00426259,-0.000725321
0.00441884,-0.000667183,,0.00441884,-0.000579839
0.00457509,-0.000509041,,0.00457509,-0.000412075
0.00473134,-0.000331338,,0.00473134,-0.000228475
0.00488759,-0.000140901,,0.00488759,-3.60951e-05
0.00504384,5.49502e-05,,0.00504384,0.000157672
0.00520009,0.00024869,,0.00520009,0.00034538
0.00535634,0.000432873,,0.00535634,0.000519816
0.00551259,0.00060042,,0.00551259,0.000674275
0.00566884,0.000744894,,0.00566884,0.000802822
0.00582509,0.000860742,,0.00582509,0.000900517
0.00598134,0.000943512,,0.00598134,0.000963606
0.00613759,0.000990024,,0.00613759,0.000989663
0.00629384,0.000998489,,0.00629384,0.000977689
0.00645009,0.000968583,,0.00645009,0.000928143
0.00660634,0.000901455,,0.00660634,0.000842928
0.00676259,0.000799685,,0.00676259,0.000725321
0.00691884,0.000667183,,0.00691884,0.000579839
0.00707509,0.000509041,,0.00707509,0.000412075
0.00723134,0.000331338,,0.00723134,0.000228475
0.00738759,0.000140901,,0.00738759,3.60949e-05
0.00754384,-5.49502e-05,,0.00754384,-0.000157672
0.00770009,-0.00024869,,0.00770009,-0.00034538
0.00785634,-0.000432873,,0.00785634,-0.000519816
0.00801259,-0.00060042,,0.00801259,-0.000674275
0.00816884,-0.000744894,,0.00816884,-0.000802822
0.00832509,-0.000860742,,0.00832509,-0.000900517
0.00848134,-0.000943512,,0.00848134,-0.000963605
0.00863759,-0.000990024,,0.00863759,-0.000989663
0.00879384,-0.000998489,,0.00879384,-0.000977689
0.00895009,-0.000968583,,0.00895009,-0.000928143
0.00910634,-0.000901455,,0.00910634,-0.000842928
0.00926259,-0.000799685,,0.00926259,-0.000725321
0.00941884,-0.000667183,,0.00941884,-0.000579839
0.00957509,-0.000509041,,0.00957509,-0.000412075
0.00973134,-0.000331338,,0.00973134,-0.000228475
